"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","3/25","14/92",0.799096168927983,0.994722215760945,0.994722215760945,"8841/23077/5170",3
"HP_LOCALIZED_SKIN_LESION","HP_LOCALIZED_SKIN_LESION","HP_LOCALIZED_SKIN_LESION","3/25","14/92",0.799096168927983,0.994722215760945,0.994722215760945,"3192/4771/5921",3
"GOBP_AMIDE_BIOSYNTHETIC_PROCESS","GOBP_AMIDE_BIOSYNTHETIC_PROCESS","GOBP_AMIDE_BIOSYNTHETIC_PROCESS","2/25","10/92",0.817362604427866,0.994722215760945,0.994722215760945,"64834/3192",2
"GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS","2/25","10/92",0.817362604427866,0.994722215760945,0.994722215760945,"8841/3192",2
"GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION","GOCC_CHROMOSOMAL_REGION","2/25","10/92",0.817362604427866,0.994722215760945,0.994722215760945,"3192/4928",2
"HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","HP_ABNORMAL_CARDIAC_ATRIUM_MORPHOLOGY","2/25","10/92",0.817362604427866,0.994722215760945,0.994722215760945,"4001/6597",2
"HP_THIN_VERMILION_BORDER","HP_THIN_VERMILION_BORDER","HP_THIN_VERMILION_BORDER","2/25","10/92",0.817362604427866,0.994722215760945,0.994722215760945,"3192/6597",2
"GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS","4/25","19/92",0.831498175211632,0.994722215760945,0.994722215760945,"8841/23077/4771/5170",4
"GOCC_ENDOPLASMIC_RETICULUM","GOCC_ENDOPLASMIC_RETICULUM","GOCC_ENDOPLASMIC_RETICULUM","4/25","19/92",0.831498175211632,0.994722215760945,0.994722215760945,"23399/64834/80856/10430",4
"HP_ABNORMAL_RESPIRATORY_SYSTEM_MORPHOLOGY","HP_ABNORMAL_RESPIRATORY_SYSTEM_MORPHOLOGY","HP_ABNORMAL_RESPIRATORY_SYSTEM_MORPHOLOGY","4/25","19/92",0.831498175211632,0.994722215760945,0.994722215760945,"4001/5903/5921/6597",4
"HP_MUSCLE_WEAKNESS","HP_MUSCLE_WEAKNESS","HP_MUSCLE_WEAKNESS","4/25","19/92",0.831498175211632,0.994722215760945,0.994722215760945,"4001/4771/5903/5921",4
"GOBP_MEMBRANE_ORGANIZATION","GOBP_MEMBRANE_ORGANIZATION","GOBP_MEMBRANE_ORGANIZATION","3/25","15/92",0.841201762266429,0.994722215760945,0.994722215760945,"23399/4001/23353",3
"HP_ABNORMAL_BLEEDING","HP_ABNORMAL_BLEEDING","HP_ABNORMAL_BLEEDING","3/25","15/92",0.841201762266429,0.994722215760945,0.994722215760945,"4771/5903/5921",3
"HP_ABNORMAL_EYELID_MORPHOLOGY","HP_ABNORMAL_EYELID_MORPHOLOGY","HP_ABNORMAL_EYELID_MORPHOLOGY","3/25","15/92",0.841201762266429,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_ABNORMAL_LIP_MORPHOLOGY","HP_ABNORMAL_LIP_MORPHOLOGY","HP_ABNORMAL_LIP_MORPHOLOGY","3/25","15/92",0.841201762266429,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"HP_DECREASED_HEAD_CIRCUMFERENCE","HP_DECREASED_HEAD_CIRCUMFERENCE","HP_DECREASED_HEAD_CIRCUMFERENCE","3/25","15/92",0.841201762266429,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"80856/4771",2
"GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"11319/3192",2
"GOCC_NUCLEAR_BODY","GOCC_NUCLEAR_BODY","GOCC_NUCLEAR_BODY","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"3192/4928",2
"HP_ABNORMAL_EYEBROW_MORPHOLOGY","HP_ABNORMAL_EYEBROW_MORPHOLOGY","HP_ABNORMAL_EYEBROW_MORPHOLOGY","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"3192/6597",2
"HP_ABNORMAL_VASCULAR_MORPHOLOGY","HP_ABNORMAL_VASCULAR_MORPHOLOGY","HP_ABNORMAL_VASCULAR_MORPHOLOGY","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"5921/6597",2
"HP_ABNORMALITY_OF_MUSCLE_SIZE","HP_ABNORMALITY_OF_MUSCLE_SIZE","HP_ABNORMALITY_OF_MUSCLE_SIZE","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"5921/6597",2
"HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY","HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY","HP_ABNORMALITY_OF_THE_URINARY_SYSTEM_PHYSIOLOGY","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"4001/5921",2
"HP_HYPERTELORISM","HP_HYPERTELORISM","HP_HYPERTELORISM","2/25","11/92",0.860751279334138,0.994722215760945,0.994722215760945,"3192/4001",2
"HP_CONSTITUTIONAL_SYMPTOM","HP_CONSTITUTIONAL_SYMPTOM","HP_CONSTITUTIONAL_SYMPTOM","4/25","20/92",0.86555156574904,0.994722215760945,0.994722215760945,"22900/4001/4771/5921",4
"HP_ABNORMALITY_OF_GLOBE_LOCATION","HP_ABNORMALITY_OF_GLOBE_LOCATION","HP_ABNORMALITY_OF_GLOBE_LOCATION","3/25","16/92",0.875904174358556,0.994722215760945,0.994722215760945,"3192/4001/4771",3
"GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION","2/25","12/92",0.894926556605991,0.994722215760945,0.994722215760945,"4771/55423",2
"GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION","GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION","2/25","12/92",0.894926556605991,0.994722215760945,0.994722215760945,"22900/3192",2
"HP_ABNORMALITY_OF_REPRODUCTIVE_SYSTEM_PHYSIOLOGY","HP_ABNORMALITY_OF_REPRODUCTIVE_SYSTEM_PHYSIOLOGY","HP_ABNORMALITY_OF_REPRODUCTIVE_SYSTEM_PHYSIOLOGY","2/25","12/92",0.894926556605991,0.994722215760945,0.994722215760945,"4001/4771",2
"HP_APLASIA_HYPOPLASIA_INVOLVING_THE_SKELETON","HP_APLASIA_HYPOPLASIA_INVOLVING_THE_SKELETON","HP_APLASIA_HYPOPLASIA_INVOLVING_THE_SKELETON","2/25","12/92",0.894926556605991,0.994722215760945,0.994722215760945,"3192/6597",2
"GOBP_REGULATION_OF_CELL_CYCLE","GOBP_REGULATION_OF_CELL_CYCLE","GOBP_REGULATION_OF_CELL_CYCLE","3/25","17/92",0.904083576658929,0.994722215760945,0.994722215760945,"11319/3192/4771",3
"GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS","GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"64834/3192",2
"HP_ABNORMAL_HAIR_QUANTITY","HP_ABNORMAL_HAIR_QUANTITY","HP_ABNORMAL_HAIR_QUANTITY","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"3192/6597",2
"HP_ABNORMAL_INTESTINE_MORPHOLOGY","HP_ABNORMAL_INTESTINE_MORPHOLOGY","HP_ABNORMAL_INTESTINE_MORPHOLOGY","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"22900/3192",2
"HP_ABNORMAL_NASAL_BRIDGE_MORPHOLOGY","HP_ABNORMAL_NASAL_BRIDGE_MORPHOLOGY","HP_ABNORMAL_NASAL_BRIDGE_MORPHOLOGY","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"4001/6597",2
"HP_ABNORMALITY_OF_DIGESTIVE_SYSTEM_MORPHOLOGY","HP_ABNORMALITY_OF_DIGESTIVE_SYSTEM_MORPHOLOGY","HP_ABNORMALITY_OF_DIGESTIVE_SYSTEM_MORPHOLOGY","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"22900/3192",2
"HP_ABNORMALITY_OF_THE_DENTITION","HP_ABNORMALITY_OF_THE_DENTITION","HP_ABNORMALITY_OF_THE_DENTITION","2/25","13/92",0.921490067576387,0.994722215760945,0.994722215760945,"4001/6597",2
"HP_ABNORMAL_HAIR_MORPHOLOGY","HP_ABNORMAL_HAIR_MORPHOLOGY","HP_ABNORMAL_HAIR_MORPHOLOGY","3/25","18/92",0.926652146856828,0.994722215760945,0.994722215760945,"3192/4001/6597",3
"GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS","GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS","GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS","2/25","14/92",0.941889050684454,0.994722215760945,0.994722215760945,"64834/3192",2
"GOBP_REGULATION_OF_CELL_CYCLE_PROCESS","GOBP_REGULATION_OF_CELL_CYCLE_PROCESS","GOBP_REGULATION_OF_CELL_CYCLE_PROCESS","2/25","14/92",0.941889050684454,0.994722215760945,0.994722215760945,"11319/3192",2
"HP_ABNORMALITY_OF_THE_CALVARIA","HP_ABNORMALITY_OF_THE_CALVARIA","HP_ABNORMALITY_OF_THE_CALVARIA","2/25","14/92",0.941889050684454,0.994722215760945,0.994722215760945,"3192/4001",2
"GOCC_CHROMOSOME","GOCC_CHROMOSOME","GOCC_CHROMOSOME","3/25","20/92",0.958424449032878,0.994722215760945,0.994722215760945,"3192/4928/6597",3
"GOBP_IMMUNE_SYSTEM_DEVELOPMENT","GOBP_IMMUNE_SYSTEM_DEVELOPMENT","GOBP_IMMUNE_SYSTEM_DEVELOPMENT","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"5926",1
"GOBP_PEPTIDE_METABOLIC_PROCESS","GOBP_PEPTIDE_METABOLIC_PROCESS","GOBP_PEPTIDE_METABOLIC_PROCESS","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"3192",1
"GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"11319",1
"GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"3192",1
"GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR","GOBP_RESPONSE_TO_GROWTH_FACTOR","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"5170",1
"GOCC_CHROMATIN","GOCC_CHROMATIN","GOCC_CHROMATIN","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMALITY_OF_SKIN_PIGMENTATION","HP_ABNORMALITY_OF_SKIN_PIGMENTATION","HP_ABNORMALITY_OF_SKIN_PIGMENTATION","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"4771",1
"HP_ABNORMALITY_OF_THE_LENS","HP_ABNORMALITY_OF_THE_LENS","HP_ABNORMALITY_OF_THE_LENS","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"4771",1
"HP_APLASIA_HYPOPLASIA_AFFECTING_BONES_OF_THE_AXIAL_SKELETON","HP_APLASIA_HYPOPLASIA_AFFECTING_BONES_OF_THE_AXIAL_SKELETON","HP_APLASIA_HYPOPLASIA_AFFECTING_BONES_OF_THE_AXIAL_SKELETON","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"3192",1
"HP_HYPERPIGMENTATION_OF_THE_SKIN","HP_HYPERPIGMENTATION_OF_THE_SKIN","HP_HYPERPIGMENTATION_OF_THE_SKIN","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"4771",1
"HP_PTOSIS","HP_PTOSIS","HP_PTOSIS","1/25","10/92",0.965607243690962,0.994722215760945,0.994722215760945,"6597",1
"GOBP_CELL_CYCLE_PHASE_TRANSITION","GOBP_CELL_CYCLE_PHASE_TRANSITION","GOBP_CELL_CYCLE_PHASE_TRANSITION","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"11319",1
"GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"22900",1
"GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS","GOBP_REGULATION_OF_RESPONSE_TO_STRESS","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"8841",1
"HP_ABNORMAL_PALATE_MORPHOLOGY","HP_ABNORMAL_PALATE_MORPHOLOGY","HP_ABNORMAL_PALATE_MORPHOLOGY","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"3192",1
"HP_ABNORMAL_TESTIS_MORPHOLOGY","HP_ABNORMAL_TESTIS_MORPHOLOGY","HP_ABNORMAL_TESTIS_MORPHOLOGY","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMALITY_OF_LONG_BONE_MORPHOLOGY","HP_ABNORMALITY_OF_LONG_BONE_MORPHOLOGY","HP_ABNORMALITY_OF_LONG_BONE_MORPHOLOGY","1/25","11/92",0.976092840126644,0.994722215760945,0.994722215760945,"5921",1
"GOBP_DNA_METABOLIC_PROCESS","GOBP_DNA_METABOLIC_PROCESS","GOBP_DNA_METABOLIC_PROCESS","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"3192",1
"HP_ABNORMAL_CIRCULATING_METABOLITE_CONCENTRATION","HP_ABNORMAL_CIRCULATING_METABOLITE_CONCENTRATION","HP_ABNORMAL_CIRCULATING_METABOLITE_CONCENTRATION","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"5921",1
"HP_ABNORMAL_EXTERNAL_GENITALIA","HP_ABNORMAL_EXTERNAL_GENITALIA","HP_ABNORMAL_EXTERNAL_GENITALIA","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMAL_RETINAL_MORPHOLOGY","HP_ABNORMAL_RETINAL_MORPHOLOGY","HP_ABNORMAL_RETINAL_MORPHOLOGY","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"4771",1
"HP_ABNORMAL_TENDON_MORPHOLOGY","HP_ABNORMAL_TENDON_MORPHOLOGY","HP_ABNORMAL_TENDON_MORPHOLOGY","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"4001",1
"HP_GENERALIZED_ABNORMALITY_OF_SKIN","HP_GENERALIZED_ABNORMALITY_OF_SKIN","HP_GENERALIZED_ABNORMALITY_OF_SKIN","1/25","12/92",0.983471593173976,0.994722215760945,0.994722215760945,"5921",1
"GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP_CELLULAR_RESPONSE_TO_STRESS","GOBP_CELLULAR_RESPONSE_TO_STRESS","1/25","13/92",0.988636720307109,0.994722215760945,0.994722215760945,"8841",1
"HP_ABNORMAL_ANTERIOR_EYE_SEGMENT_MORPHOLOGY","HP_ABNORMAL_ANTERIOR_EYE_SEGMENT_MORPHOLOGY","HP_ABNORMAL_ANTERIOR_EYE_SEGMENT_MORPHOLOGY","1/25","13/92",0.988636720307109,0.994722215760945,0.994722215760945,"4771",1
"HP_ABNORMALITY_OF_FINGER","HP_ABNORMALITY_OF_FINGER","HP_ABNORMALITY_OF_FINGER","1/25","13/92",0.988636720307109,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS","HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS","HP_ABNORMALITY_OF_THE_ABDOMINAL_ORGANS","1/25","13/92",0.988636720307109,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMALITY_OF_THE_PINNA","HP_ABNORMALITY_OF_THE_PINNA","HP_ABNORMALITY_OF_THE_PINNA","1/25","13/92",0.988636720307109,0.994722215760945,0.994722215760945,"4001",1
"GOBP_RESPONSE_TO_ABIOTIC_STIMULUS","GOBP_RESPONSE_TO_ABIOTIC_STIMULUS","GOBP_RESPONSE_TO_ABIOTIC_STIMULUS","1/25","14/92",0.992232694893467,0.994722215760945,0.994722215760945,"5170",1
"HP_ABNORMAL_FACIAL_SHAPE","HP_ABNORMAL_FACIAL_SHAPE","HP_ABNORMAL_FACIAL_SHAPE","1/25","14/92",0.992232694893467,0.994722215760945,0.994722215760945,"6597",1
"HP_ABNORMAL_JAW_MORPHOLOGY","HP_ABNORMAL_JAW_MORPHOLOGY","HP_ABNORMAL_JAW_MORPHOLOGY","1/25","14/92",0.992232694893467,0.994722215760945,0.994722215760945,"3192",1
"GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS","1/25","15/92",0.994722215760945,0.994722215760945,0.994722215760945,"3192",1
"HP_ABNORMALITY_OF_FACIAL_SKELETON","HP_ABNORMALITY_OF_FACIAL_SKELETON","HP_ABNORMALITY_OF_FACIAL_SKELETON","1/25","15/92",0.994722215760945,0.994722215760945,0.994722215760945,"3192",1
"HP_ABNORMALITY_OF_THE_OUTER_EAR","HP_ABNORMALITY_OF_THE_OUTER_EAR","HP_ABNORMALITY_OF_THE_OUTER_EAR","1/25","15/92",0.994722215760945,0.994722215760945,0.994722215760945,"4001",1
