"","siRNA","rupture_frequency","p","FDR_adjusted_p","bon_adjusted_p","unadjusted","FDR","bonf"
"1","ADK",0.153548387096774,0.13534911996451,0.212046954611066,1,"n","n","n"
"2","ALOX5AP",0.169270833333333,0.00150666696563512,0.00429171802332428,0.141626694769701,"y","y","n"
"3","ARHGAP18",0.109504132231405,0.0461500333548464,0.0850608457912855,1,"y","n","n"
"4","ARID4A",0.231780167264038,2.99734418870468e-10,7.043758843456e-09,2.8175035373824e-08,"y","y","y"
"5","ARRDC3",0.13009540329575,0.898610093855659,0.928234602444307,1,"n","n","n"
"6","ASAP3",0.138888888888889,0.817071021240667,0.882812367777272,1,"n","n","n"
"7","ATL2",0.109090909090909,0.0395520214123686,0.0758753063829112,1,"y","n","n"
"8","ATP9A",0.153020134228188,0.0706892290802399,0.120814318791683,1,"n","n","n"
"9","BANF1",0.148465381870093,0.167431041900119,0.2459143427908,1,"n","n","n"
"10","BDH1",0.13421550094518,0.872637792879884,0.921662387985495,1,"n","n","n"
"11","CAMSAP2",0.183172002978407,3.58420064881094e-05,0.000198185212346017,0.00336914860988228,"y","y","y"
"12","CARD8",0.0853858784893268,4.75990546562772e-05,0.000223715556884503,0.00447431113769006,"y","y","y"
"13","CHST14",0.104538087520259,0.019221292104766,0.0463282425089232,1,"y","y","n"
"14","CNBP",0.146932952924394,0.226053358260608,0.317149487708913,1,"n","n","n"
"15","CPEB2",0.107008760951189,0.0214575976537839,0.0491954677916021,1,"y","y","n"
"16","CTCF",0.106854838709677,0.0236053036029411,0.0516022915971271,1,"y","n","n"
"17","CTDNEP1",0.245657568238213,1.43552498784292e-16,6.74696744286172e-15,1.34939348857234e-14,"y","y","y"
"18","CTRL",0.131843065693431,0.999999999998744,0.999999999998744,1,"n","n","n"
"19","DAZAP1",0.109479305740988,0.11514643123449,0.183453636204103,1,"n","n","n"
"20","DDX56",0.122905027932961,0.508864024092104,0.646394841414294,1,"n","n","n"
"21","DIAPH3",0.230263157894737,8.39712083209591e-08,9.8666169777127e-07,7.89329358217016e-06,"y","y","y"
"22","DNAH1",0.115550092194222,0.141240362016429,0.217649082451546,1,"n","n","n"
"23","ECD",0.0822368421052632,2.33488806391744e-06,2.19479478008239e-05,0.000219479478008239,"y","y","y"
"24","EIF1AX",0.0780399274047187,0.00139436385148458,0.00422807103353389,0.13107020203955,"y","y","n"
"25","ELF2",0.121761658031088,0.555704219611988,0.678392164201648,1,"n","n","n"
"26","ELOVL1",0.0896130346232179,8.47258630613753e-05,0.000379249101322347,0.00796423112776928,"y","y","y"
"27","ERN1",0.137931034482759,0.611221681499782,0.727276431151639,1,"n","n","n"
"28","FAR1",0.113317757009346,0.181635930371385,0.262673499306311,1,"n","n","n"
"29","FHL1",0.0932735426008969,0.00119832865588122,0.00388423771216671,0.112642893652835,"y","y","n"
"30","GOLGA1",0.175935288169869,0.00128660506468691,0.00403136253601898,0.12094087608057,"y","y","n"
"31","HDAC3",0.193886462882096,2.96332489958632e-06,2.53229582328286e-05,0.000278552540561114,"y","y","y"
"32","HNRNPU",0.0804597701149425,3.35888956673376e-06,2.42873553286903e-05,0.000315735619272973,"y","y","y"
"33","HSFX1",0.108045977011494,0.0414848574334356,0.0779915319748589,1,"y","n","n"
"34","KAT8",0.130782918149466,0.947901500046847,0.968508054395692,1,"n","n","n"
"35","LEMD3",0.106332138590203,0.0577094766249338,0.102352656655543,1,"n","n","n"
"36","LIMCH1",0.121212121212121,0.4217940543564,0.543132069993173,1,"n","n","n"
"37","LMNA",0.133122028526149,0.963808646113129,0.974172179942302,1,"n","n","n"
"38","LMNB1",0.18349358974359,4.67100068063586e-05,0.000231091612620932,0.00439074063979771,"y","y","y"
"39","LNPK",0.0835073068893528,6.66094135251473e-06,4.47234633668846e-05,0.000626128487136385,"y","y","y"
"40","LY9",0.117511520737327,0.320638608134696,0.436812016879151,1,"n","n","n"
"41","MEN1",0.103413654618474,0.0238205998541214,0.0508894633247139,1,"y","n","n"
"42","MRPL43",0.126801152737752,0.71778007481691,0.803230083723685,1,"n","n","n"
"43","MSH2",0.105590062111801,0.0176819258473244,0.0437395007802235,1,"y","y","n"
"44","MYCBP2",0.0705794947994056,1.40675755129267e-08,2.20392016369185e-07,1.32235209821511e-06,"y","y","y"
"45","NDC1",0.176594253679047,0.000224472864762969,0.000879185386988295,0.0211004492877191,"y","y","y"
"46","NDE1",0.135922330097087,0.885190331825144,0.924532124350706,1,"n","n","n"
"47","NEMP1",0.125925925925926,0.717981183384092,0.79400272044829,1,"n","n","n"
"48","NF2",0.0918448139350752,0.000433313886858115,0.00162926021458651,0.0407315053646628,"y","y","y"
"49","NHS",0.175422138836773,0.00103797202238267,0.00348462036085611,0.097569370103971,"y","y","n"
"50","NIPBL",0.15625,0.0368995832862231,0.0737991665724462,1,"y","n","n"
"51","NPM1",0.103015075376884,0.00764003932381648,0.0205189627553928,0.718163696438749,"y","y","n"
"52","NRM",0.0723065798987708,2.54685295112059e-08,3.42005967721908e-07,2.39404177405335e-06,"y","y","y"
"53","NSDHL",0.121334681496461,0.421765502886251,0.550638295434828,1,"n","n","n"
"54","NUP153",0.138991389913899,0.716960977581951,0.811979902321728,1,"n","n","n"
"55","NUP98",0.082089552238806,3.40619059203771e-05,0.000200113697282215,0.00320181915651545,"y","y","y"
"56","PDPK1",0.183431952662722,0.000139242198345239,0.000594943938384203,0.0130887666444525,"y","y","y"
"57","PIN1",0.112868439971244,0.10895261592112,0.179676243799742,1,"n","n","n"
"58","PLXDC2",0.161361141602634,0.0313613749609531,0.0655104276962131,1,"y","n","n"
"59","PML",0.0990491283676704,0.00437967753500019,0.0121085202438241,0.411689688290018,"y","y","n"
"60","POMGNT2",0.125886524822695,0.821716141708158,0.877742242279169,1,"n","n","n"
"61","PPFIBP1",0.126651982378855,0.754962158400885,0.825191196391665,1,"n","n","n"
"62","PPP2R3A",0.11031746031746,0.0752068587132048,0.126240084268594,1,"n","n","n"
"63","PRKCA",0.118665811417575,0.252711505809082,0.349336493324319,1,"n","n","n"
"64","PSMC1",0.350132625994695,2.56225987520452e-17,2.40852428269225e-15,2.40852428269225e-15,"y","y","y"
"65","PTEN",0.123287671232877,0.58741953065291,0.707915844632994,1,"n","n","n"
"66","RAB40B",0.0936482084690554,0.000903916826801969,0.00314696969331056,0.0849681817193851,"y","y","n"
"67","RANBP2",0.0769230769230769,1.72098977222998e-07,1.79747820655131e-06,1.61773038589618e-05,"y","y","y"
"68","RASA1",0.0604425256341069,3.49982861100898e-14,1.09661296478281e-12,3.28983889434844e-12,"y","y","y"
"69","RB1",0.105929763960852,0.0133289748437699,0.0348034343142881,1,"y","y","n"
"70","RCN1",0.158536585365854,0.0517839621158898,0.0936094699787239,1,"n","n","n"
"71","RFX7",0.119675456389452,0.37192778440839,0.492411432878714,1,"n","n","n"
"72","RPL22",0.136572554169403,0.692135984365582,0.79342417719957,1,"n","n","n"
"73","RTN2",0.155038759689922,0.0578302737567649,0.100667513576591,1,"n","n","n"
"74","S100A4",0.081140350877193,3.18306451416038e-06,2.4934005360923e-05,0.000299208064331076,"y","y","y"
"75","SCFD2",0.104844061048441,0.0138109211920842,0.0350872051907004,1,"y","y","n"
"76","SCHIP1",0.138570167696381,0.618082072759297,0.726246435492174,1,"n","n","n"
"77","SEPT7",0.14041095890411,0.526335226885476,0.650993570095194,1,"n","n","n"
"78","SIRPG",0.0854583046175052,1.53625471021598e-05,9.62719618402014e-05,0.00144407942760302,"y","y","y"
"79","SMARCA4",0.205090909090909,6.38714693754685e-09,1.20078362425881e-07,6.00391812129404e-07,"y","y","y"
"80","SPAST",0.103346456692913,0.0223623471342676,0.050049062633837,1,"y","n","n"
"81","ST8SIA6",0.137024221453287,0.669774294962497,0.77726893489475,1,"n","n","n"
"82","STARD10",0.157561361836896,0.0372238978630847,0.0728967999818742,1,"y","n","n"
"83","STK11",0.150238473767886,0.162733936048286,0.242809364897443,1,"n","n","n"
"84","SULF1",0.123467600700525,0.518181369493139,0.649453983098068,1,"n","n","n"
"85","SUN1",0.0880999342537804,3.69393418984264e-05,0.000192905452136227,0.00347229813845208,"y","y","y"
"86","SYNGAP1",0.120448179271709,0.344251696192502,0.462280849172788,1,"n","n","n"
"87","TCP1",0.113915416098226,0.114577121926168,0.185693956225169,1,"n","n","n"
"88","TEN1",0.173708920187793,0.00148670816477391,0.00436720523402336,0.139750567488748,"y","y","n"
"89","TMEM147",0.0919825978868863,0.000141295256828816,0.000577467571387335,0.0132817541419087,"y","y","y"
"90","TMEM170A",0.108811748998665,0.0364045538237148,0.0743919143354172,1,"y","n","n"
"91","TOR1AIP1",0.150214592274678,0.145218343746774,0.220169746970915,1,"n","n","n"
"92","TP53",0.117960877296977,0.210469648089602,0.299759801824585,1,"n","n","n"
"93","TPR",0.104889589905363,0.019778384426982,0.0464792034034077,1,"y","y","n"
"94","TRMO",0.08859357696567,0.000824248718258275,0.00297997613524146,0.0774793795162779,"y","y","n"
