oldwell,Metadata_Well,siRNA,GeneId,Description,Species,Type,Pinned
A1,A01,CTRL,1506,CTRL ON-TARGETplus SMARTpool -  Human,Human,,
A2,A02,LMNA,4000,LMNA ON-TARGETplus SMARTpool -  Human,Human,,
A3,A03,BANF1,8815,BANF1 ON-TARGETplus SMARTpool -  Human,Human,,
A4,A04,LMNB1,4001,LMNB1 ON-TARGETplus SMARTpool -  Human,Human,,
A5,A05,SUN1,23353,SUN1 ON-TARGETplus SMARTpool -  Human,Human,,
A6,A06,RPL22,6146,RPL22 ON-TARGETplus SMARTpool -  Human,Human,,
A7,A07,TP53,7157,TP53 ON-TARGETplus SMARTpool -  Human,Human,,
A8,A08,RB1,5925,RB1 ON-TARGETplus SMARTpool -  Human,Human,,
A9,A09,RASA1,5921,RASA1 ON-TARGETplus SMARTpool -  Human,Human,,
A10,A10,STK11,6794,STK11 ON-TARGETplus SMARTpool -  Human,Human,,
A11,A11,PML,5371,PML ON-TARGETplus SMARTpool -  Human,Human,,
A12,A12,CHST14,113189,CHST14 ON-TARGETplus SMARTpool -  Human,Human,,
B1,B01,PTEN,5728,PTEN ON-TARGETplus SMARTpool -  Human,Human,,
B2,B02,NF2,4771,NF2 ON-TARGETplus SMARTpool -  Human,Human,,
B3,B03,NIPBL,25836,NIPBL ON-TARGETplus SMARTpool -  Human,Human,,
B4,B04,CTCF,10664,CTCF ON-TARGETplus SMARTpool -  Human,Human,,
B5,B05,HNRNPU,3192,HNRNPU ON-TARGETplus SMARTpool -  Human,Human,,
B6,B06,SMARCA4,6597,SMARCA4 ON-TARGETplus SMARTpool -  Human,Human,,
B7,B07,NPM1,4869,NPM1 ON-TARGETplus SMARTpool -  Human,Human,,
B8,B08,MSH2,4436,MSH2 ON-TARGETplus SMARTpool -  Human,Human,,
B9,B09,HDAC3,8841,HDAC3 ON-TARGETplus SMARTpool -  Human,Human,,
B10,B10,MEN1,4221,MEN1 ON-TARGETplus SMARTpool -  Human,Human,,
B11,B11,KAT8,84148,KAT8 ON-TARGETplus SMARTpool -  Human,Human,,
B12,B12,DIAPH3,81624,DIAPH3 ON-TARGETplus SMARTpool -  Human,Human,,
C1,C01,SPAST,6683,SPAST ON-TARGETplus SMARTpool -  Human,Human,,
C2,C02,ARHGAP18,93663,ARHGAP18 ON-TARGETplus SMARTpool -  Human,Human,,
C3,C03,LNPK,80856,LNPK ON-TARGETplus SMARTpool -  Human,Human,,
C4,C04,TCP1,6950,TCP1 ON-TARGETplus SMARTpool -  Human,Human,,
C5,C05,ERN1,2081,ERN1 ON-TARGETplus SMARTpool -  Human,Human,,
C6,C06,STARD10,10809,STARD10 ON-TARGETplus SMARTpool -  Human,Human,,
C7,C07,ATL2,64225,ATL2 ON-TARGETplus SMARTpool -  Human,Human,,
C8,C08,TMEM170A,124491,TMEM170A ON-TARGETplus SMARTpool -  Human,Human,,
C9,C09,RTN2,6253,RTN2 ON-TARGETplus SMARTpool -  Human,Human,,
C10,C10,TOR1AIP1,26092,TOR1AIP1 ON-TARGETplus SMARTpool -  Human,Human,,
C11,C11,CTDNEP1,23399,CTDNEP1 ON-TARGETplus SMARTpool -  Human,Human,,
C12,C12,NEMP1,23306,NEMP1 ON-TARGETplus SMARTpool -  Human,Human,,
D1,D01,LEMD3,23592,LEMD3 ON-TARGETplus SMARTpool -  Human,Human,,
D2,D02,PIN1,5300,PIN1 ON-TARGETplus SMARTpool -  Human,Human,,
D3,D03,PRKCA,5578,PRKCA ON-TARGETplus SMARTpool -  Human,Human,,
D4,D04,NRM,11270,NRM ON-TARGETplus SMARTpool -  Human,Human,,
D5,D05,ALOX5AP,241,ALOX5AP ON-TARGETplus SMARTpool -  Human,Human,,
D6,D06,ELOVL1,64834,ELOVL1 ON-TARGETplus SMARTpool -  Human,Human,,
D7,D07,ATP9A,10079,ATP9A ON-TARGETplus SMARTpool -  Human,Human,,
D8,D08,SEPT7,989,SEPT7 ON-TARGETplus SMARTpool -  Human,Human,,
D9,D09,TMEM147,10430,TMEM147 ON-TARGETplus SMARTpool -  Human,Human,,
D10,D10,RANBP2,5903,RANBP2 ON-TARGETplus SMARTpool -  Human,Human,,
D11,D11,NDC1,55706,NDC1 ON-TARGETplus SMARTpool -  Human,Human,,
D12,D12,NUP153,9972,NUP153 ON-TARGETplus SMARTpool -  Human,Human,,
E1,E01,CTRL,1506,CTRL ON-TARGETplus SMARTpool -  Human,Human,,
E2,E02,TPR,7175,TPR ON-TARGETplus SMARTpool -  Human,Human,,
E3,E03,NUP98,4928,NUP98 ON-TARGETplus SMARTpool -  Human,Human,,
E4,E04,DDX56,54606,DDX56 ON-TARGETplus SMARTpool -  Human,Human,,
E5,E05,HSFX1,100506164,HSFX1 ON-TARGETplus SMARTpool -  Human,Human,,
E6,E06,SIRPG,55423,SIRPG ON-TARGETplus SMARTpool -  Human,Human,,
E7,E07,ST8SIA6,338596,ST8SIA6 ON-TARGETplus SMARTpool -  Human,Human,,
E8,E08,ECD,11319,ECD ON-TARGETplus SMARTpool -  Human,Human,,
E9,E09,SYNGAP1,8831,SYNGAP1 ON-TARGETplus SMARTpool -  Human,Human,,
E10,E10,TEN1,100134934,TEN1 ON-TARGETplus SMARTpool -  Human,Human,,
E11,E11,S100A4,6275,S100A4 ON-TARGETplus SMARTpool -  Human,Human,,
E12,E12,RAB40B,10966,RAB40B ON-TARGETplus SMARTpool -  Human,Human,,
F1,F01,ASAP3,55616,ASAP3 ON-TARGETplus SMARTpool -  Human,Human,,
F2,F02,FHL1,2273,FHL1 ON-TARGETplus SMARTpool -  Human,Human,,
F3,F03,NSDHL,50814,NSDHL ON-TARGETplus SMARTpool -  Human,Human,,
F4,F04,MRPL43,84545,MRPL43 ON-TARGETplus SMARTpool -  Human,Human,,
F5,F05,SULF1,23213,SULF1 ON-TARGETplus SMARTpool -  Human,Human,,
F6,F06,PSMC1,5700,PSMC1 ON-TARGETplus SMARTpool -  Human,Human,,
F7,F07,CNBP,7555,CNBP ON-TARGETplus SMARTpool -  Human,Human,,
F8,F08,CPEB2,132864,CPEB2 ON-TARGETplus SMARTpool -  Human,Human,,
F9,F09,PDPK1,5170,PDPK1 ON-TARGETplus SMARTpool -  Human,Human,,
F10,F10,MYCBP2,23077,MYCBP2 ON-TARGETplus SMARTpool -  Human,Human,,
F11,F11,CARD8,22900,CARD8 ON-TARGETplus SMARTpool -  Human,Human,,
F12,F12,POMGNT2,84892,POMGNT2 ON-TARGETplus SMARTpool -  Human,Human,,
G1,G01,ELF2,1998,ELF2 ON-TARGETplus SMARTpool -  Human,Human,,
G2,G02,RCN1,5954,RCN1 ON-TARGETplus SMARTpool -  Human,Human,,
G3,G03,EIF1AX,1964,EIF1AX ON-TARGETplus SMARTpool -  Human,Human,,
G4,G04,PLXDC2,84898,PLXDC2 ON-TARGETplus SMARTpool -  Human,Human,,
G5,G05,SCHIP1,29970,SCHIP1 ON-TARGETplus SMARTpool -  Human,Human,,
G6,G06,SCFD2,152579,SCFD2 ON-TARGETplus SMARTpool -  Human,Human,,
G7,G07,CAMSAP2,23271,CAMSAP2 ON-TARGETplus SMARTpool -  Human,Human,,
G8,G08,DNAH1,25981,DNAH1 ON-TARGETplus SMARTpool -  Human,Human,,
G9,G09,ARRDC3,57561,ARRDC3 ON-TARGETplus SMARTpool -  Human,Human,,
G10,G10,NHS,4810,NHS ON-TARGETplus SMARTpool -  Human,Human,,
G11,G11,BDH1,622,BDH1 ON-TARGETplus SMARTpool -  Human,Human,,
G12,G12,RFX7,64864,RFX7 ON-TARGETplus SMARTpool -  Human,Human,,
H1,H01,CTRL,1506,CTRL ON-TARGETplus SMARTpool -  Human,Human,,Yes
H2,H02,DAZAP1,26528,DAZAP1 ON-TARGETplus SMARTpool -  Human,Human,,
H3,H03,ADK,132,ADK ON-TARGETplus SMARTpool -  Human,Human,,
H4,H04,GOLGA1,2800,GOLGA1 ON-TARGETplus SMARTpool -  Human,Human,,
H5,H05,PPFIBP1,8496,PPFIBP1 ON-TARGETplus SMARTpool -  Human,Human,,
H6,H06,LIMCH1,22998,LIMCH1 ON-TARGETplus SMARTpool -  Human,Human,,
H7,H07,PPP2R3A,5523,PPP2R3A ON-TARGETplus SMARTpool -  Human,Human,,
H8,H08,LY9,4063,LY9 ON-TARGETplus SMARTpool -  Human,Human,,
H9,H09,ARID4A,5926,ARID4A ON-TARGETplus SMARTpool -  Human,Human,,
H10,H10,TRMO,51531,TRMO ON-TARGETplus SMARTpool -  Human,Human,,
H11,H11,FAR1,84188,FAR1 ON-TARGETplus SMARTpool -  Human,Human,,
H12,H12,NDE1,54820,NDE1 ON-TARGETplus SMARTpool -  Human,Human,,